5,659,42,20
9,295,21,14
867,378,1,11
39,330,17,0
48,205,24,22
50,1040,1,3
50,1046,3,3
50,634,3,3
295,391,27,9
295,765,1,25
62,125,7,13
62,393,8,11
62,526,43,16
71,612,0,18
76,1061,5,3
183,829,0,17
80,375,0,0
80,473,0,0
84,148,7,9
86,538,2,0
107,615,3,5
111,533,1,0
115,459,4,13
119,918,11,10
120,744,3,10
131,800,46,21
131,494,44,17
131,250,45,26
131,221,42,19
133,208,5,9
133,669,90,10
151,449,7,14
154,735,22,12
167,847,25,23
172,184,8,18
78,1011,1,0
189,344,2,0
985,883,5,13
197,247,5,0
198,573,0,6
205,682,2,20
236,335,120,11
238,417,9,14
238,315,15,4
246,573,1,6
250,359,33,29
255,441,2,9
264,366,0,0
274,329,0,0
279,525,2,1
285,718,16,18
297,713,0,0
308,596,68,25
308,1005,11,17
312,831,1,6
316,659,4,2
317,533,0,0
324,577,50,0
330,558,1,20
335,507,462,39
335,560,125,11
349,573,125,13
355,835,11,4
391,566,8,1
291,765,29,23
406,1040,4,0
342,469,11,16
413,797,0,2
420,543,7,11
421,765,23,26
425,858,6,4
449,540,18,8
452,522,16,15
454,482,7,14
462,844,4,0
468,639,52,21
470,847,551,38
470,567,574,25
470,760,574,26
347,921,7,4
515,856,16,10
533,914,1,0
534,909,12,1
548,1049,0,0
550,571,51,13
563,769,30,23
573,596,84,9
573,819,8,8
573,652,1,9
573,1035,23,9
578,856,3,22
578,690,12,20
582,1026,3,5
584,705,3,0
596,1056,79,18
599,856,8,22
604,826,3,4
607,480,0,10
638,1040,1,2
640,754,1,0
640,802,1,0
647,1044,2,0
656,712,10,11
684,1091,39,24
688,1078,38,0
730,53,7,0
784,878,13,13
840,914,2,0
1092,1096,1,9
